"!a-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-a-element\">a element</a>","a (Markdown)"
"!abbr-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-abbr-element\">abbr element</a>","abbr (Markdown)"
"!address-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-address-element\">address element</a>","address (Markdown)"
"!area-h","<a href=\"https://html.spec.whatwg.org/multipage/image-maps.html#the-area-element\">area element</a>","area (Markdown)"
"!article-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-article-element\">article element</a>","article (Markdown)"
"!aside-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-aside-element\">aside element</a>","aside (Markdown)"
"!audio-h","<a href=\"https://html.spec.whatwg.org/multipage/media.html#the-audio-element\">audio element</a>","audio (Markdown)"
"!b-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-b-element\">b element</a>","b (Markdown)"
"!base-h","<a href=\"https://html.spec.whatwg.org/multipage/semantics.html#the-base-element\">base element</a>","base (Markdown)"
"!bdi-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdi-element\">bdi element</a>","bdi (Markdown)"
"!bdo-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdo-element\">bdo element</a>","bdo (Markdown)"
"!blockquote-h","<a href=\"https://html.spec.whatwg.org/multipage/grouping-content.html#the-blockquote-element\">blockquote element</a>","blockquote (Markdown)"
"!body-h","<a href=\"https://html.spec.whatwg.org/multipage/sections.html#the-body-element\">body element</a>","body (Markdown)"
"!br-h","<a href=\"https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-br-element\">br element</a>","br (Markdown)"
"!button-h","<a href=\"https://html.spec.whatwg.org/multipage/form-elements.html#the-button-element\">button element</a>","button (Markdown)"
"!canvas-h","<a href=\"https://html.spec.whatwg.org/multipage/canvas.html#the-canvas-element\">canvas element</a>","canvas (Markdown)"
"!caption-h","<a href=\"https://html.spec.whatwg.org/multipage/tables.html#the-caption-element\">caption element</a>","caption (Markdown)"
