"!a-md","[a element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-a-element)","a (Markdown)"
"!abbr-md","[abbr element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-abbr-element)","abbr (Markdown)"
"!address-md","[address element](https://html.spec.whatwg.org/multipage/sections.html#the-address-element)","address (Markdown)"
"!area-md","[area element](https://html.spec.whatwg.org/multipage/image-maps.html#the-area-element)","area (Markdown)"
"!article-md","[article element](https://html.spec.whatwg.org/multipage/sections.html#the-article-element)","article (Markdown)"
"!aside-md","[aside element](https://html.spec.whatwg.org/multipage/sections.html#the-aside-element)","aside (Markdown)"
"!audio-md","[audio element](https://html.spec.whatwg.org/multipage/media.html#the-audio-element)","audio (Markdown)"
"!b-md","[b element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-b-element)","b (Markdown)"
"!base-md","[base element](https://html.spec.whatwg.org/multipage/semantics.html#the-base-element)","base (Markdown)"
"!bdi-md","[bdi element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdi-element)","bdi (Markdown)"
"!bdo-md","[bdo element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdo-element)","bdo (Markdown)"
"!blockquote-md","[blockquote element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-blockquote-element)","blockquote (Markdown)"
"!body-md","[body element](https://html.spec.whatwg.org/multipage/sections.html#the-body-element)","body (Markdown)"
"!br-md","[br element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-br-element)","br (Markdown)"
"!button-md","[button element](https://html.spec.whatwg.org/multipage/form-elements.html#the-button-element)","button (Markdown)"
"!canvas-md","[canvas element](https://html.spec.whatwg.org/multipage/canvas.html#the-canvas-element)","canvas (Markdown)"
"!caption-md","[caption element](https://html.spec.whatwg.org/multipage/tables.html#the-caption-element)","caption (Markdown)"
"!cite-md","[cite element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-cite-element)","cite (Markdown)"
"!code-md","[code element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-code-element)","code (Markdown)"
"!col-md","[col element](https://html.spec.whatwg.org/multipage/tables.html#the-col-element)","col (Markdown)"
"!colgroup-md","[colgroup element](https://html.spec.whatwg.org/multipage/tables.html#the-colgroup-element)","colgroup (Markdown)"
"!data-md","[data element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-data-element)","data (Markdown)"
"!datalist-md","[datalist element](https://html.spec.whatwg.org/multipage/form-elements.html#the-datalist-element)","datalist (Markdown)"
"!dd-md","[dd element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-dd-element)","dd (Markdown)"
"!del-md","[del element](https://html.spec.whatwg.org/multipage/edits.html#the-del-element)","del (Markdown)"
"!details-md","[details element](https://html.spec.whatwg.org/multipage/interactive-elements.html#the-details-element)","details (Markdown)"
"!dfn-md","[dfn element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-dfn-element)","dfn (Markdown)"
"!dialog-md","[dialog element](https://html.spec.whatwg.org/multipage/interactive-elements.html#the-dialog-element)","dialog (Markdown)"
"!div-md","[div element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-div-element)","div (Markdown)"
"!dl-md","[dl element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-dl-element)","dl (Markdown)"
"!dt-md","[dt element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-dt-element)","dt (Markdown)"
"!em-md","[em element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-em-element)","em (Markdown)"
"!embed-md","[embed element](https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-embed-element)","embed (Markdown)"
"!fieldset-md","[fieldset element](https://html.spec.whatwg.org/multipage/form-elements.html#the-fieldset-element)","fieldset (Markdown)"
"!figcaption-md","[figcaption element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-figcaption-element)","figcaption (Markdown)"
"!figure-md","[figure element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-figure-element)","figure (Markdown)"
"!footer-md","[footer element](https://html.spec.whatwg.org/multipage/sections.html#the-footer-element)","footer (Markdown)"
"!form-md","[form element](https://html.spec.whatwg.org/multipage/forms.html#the-form-element)","form (Markdown)"
"!head-md","[head element](https://html.spec.whatwg.org/multipage/semantics.html#the-head-element)","head (Markdown)"
"!header-md","[header element](https://html.spec.whatwg.org/multipage/sections.html#the-header-element)","header (Markdown)"
"!hgroup-md","[hgroup element](https://html.spec.whatwg.org/multipage/sections.html#the-hgroup-element)","hgroup (Markdown)"
"!hr-md","[hr element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-hr-element)","hr (Markdown)"
"!html-md","[html element](https://html.spec.whatwg.org/multipage/semantics.html#the-html-element)","html (Markdown)"
"!i-md","[i element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-i-element)","i (Markdown)"
"!iframe-md","[iframe element](https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-iframe-element)","iframe (Markdown)"
"!img-md","[img element](https://html.spec.whatwg.org/multipage/embedded-content.html#the-img-element)","img (Markdown)"
"!input-md","[input element](https://html.spec.whatwg.org/multipage/input.html#the-input-element)","input (Markdown)"
"!ins-md","[ins element](https://html.spec.whatwg.org/multipage/edits.html#the-ins-element)","ins (Markdown)"
"!kbd-md","[kbd element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-kbd-element)","kbd (Markdown)"
"!label-md","[label element](https://html.spec.whatwg.org/multipage/forms.html#the-label-element)","label (Markdown)"
"!legend-md","[legend element](https://html.spec.whatwg.org/multipage/form-elements.html#the-legend-element)","legend (Markdown)"
"!li-md","[li element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-li-element)","li (Markdown)"
"!link-md","[link element](https://html.spec.whatwg.org/multipage/semantics.html#the-link-element)","link (Markdown)"
"!main-md","[main element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-main-element)","main (Markdown)"
"!map-md","[map element](https://html.spec.whatwg.org/multipage/image-maps.html#the-map-element)","map (Markdown)"
"!mark-md","[mark element](https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-mark-element)","mark (Markdown)"
"!menu-md","[menu element](https://html.spec.whatwg.org/multipage/grouping-content.html#the-menu-element)","menu (Markdown)"
"!meta-md","[meta element](https://html.spec.whatwg.org/multipage/semantics.html#the-meta-element)","meta (Markdown)"
"!meter-md","[meter element](https://html.spec.whatwg.org/multipage/form-elements.html#the-meter-element)","meter (Markdown)"
"!nav-md","[nav element](https://html.spec.whatwg.org/multipage/sections.html#the-nav-element)","nav (Markdown)"
