"1.1.1-h","<a href=\"https://www.w3.org/TR/WCAG22/#non-text-content\">SC 1.1.1 Non-text Content</a>","1.1.1 Non-text Content (Markdown link)"
"1.2.1-h","<a href=\"https://www.w3.org/TR/WCAG22/#audio-only-and-video-only-prerecorded\">SC 1.2.1 Audio-only and Video-only (Prerecorded)</a>","1.2.1 Audio-only and Video-only (Prerecorded) (Markdown link)"
"1.2.2-h","<a href=\"https://www.w3.org/TR/WCAG22/#captions-prerecorded\">SC 1.2.2 Captions (Prerecorded)</a>","1.2.2 Captions (Prerecorded) (Markdown link)"
"1.2.3-h","<a href=\"https://www.w3.org/TR/WCAG22/#audio-description-or-media-alternative-prerecorded\">SC 1.2.3 Audio Description or Media Alternative (Prerecorded)</a>","1.2.3 Audio Description or Media Alternative (Prerecorded) (Markdown link)"
"1.3.1-h","<a href=\"https://www.w3.org/TR/WCAG22/#info-and-relationships\">SC 1.3.1 Info and Relationships</a>","1.3.1 Info and Relationships (Markdown link)"
"1.3.2-h","<a href=\"https://www.w3.org/TR/WCAG22/#meaningful-sequence\">SC 1.3.2 Meaningful Sequence</a>","1.3.2 Meaningful Sequence (Markdown link)"
"1.3.3-h","<a href=\"https://www.w3.org/TR/WCAG22/#sensory-characteristics\">SC 1.3.3 Sensory Characteristics</a>","1.3.3 Sensory Characteristics (Markdown link)"
"1.4.1-h","<a href=\"https://www.w3.org/TR/WCAG22/#use-of-color\">SC 1.4.1 Use of Color</a>","1.4.1 Use of Color (Markdown link)"
"1.4.2-h","<a href=\"https://www.w3.org/TR/WCAG22/#audio-control\">SC 1.4.2 Audio Control</a>","1.4.2 Audio Control (Markdown link)"
"2.1.1-h","<a href=\"https://www.w3.org/TR/WCAG22/#keyboard\">SC 2.1.1 Keyboard</a>","2.1.1 Keyboard (Markdown link)"
"2.1.2-h","<a href=\"https://www.w3.org/TR/WCAG22/#no-keyboard-trap\">SC 2.1.2 No Keyboard Trap</a>","2.1.2 No Keyboard Trap (Markdown link)"
