"1.1.1-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html\">Understanding SC 1.1.1 Non-text Content</a>","1.1.1 Non-text Content - Understanding (Markdown link)"
"1.2.1-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/audio-only-and-video-only-prerecorded.html\">Understanding SC 1.2.1 Audio-only and Video-only (Prerecorded)</a>","1.2.1 Audio-only and Video-only (Prerecorded) - Understanding (Markdown link)"
"1.2.2-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/captions-prerecorded.html\">Understanding SC 1.2.2 Captions (Prerecorded)</a>","1.2.2 Captions (Prerecorded) - Understanding (Markdown link)"
"1.2.3-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/audio-description-or-media-alternative-prerecorded.html\">Understanding SC 1.2.3 Audio Description or Media Alternative (Prerecorded)</a>","1.2.3 Audio Description or Media Alternative (Prerecorded) - Understanding (Markdown link)"
"1.2.4-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/captions-live.html\">Understanding SC 1.2.4 Captions (Live)</a>","1.2.4 Captions (Live) - Understanding (Markdown link)"
"1.2.5-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/audio-description-prerecorded.html\">Understanding SC 1.2.5 Audio Description (Prerecorded)</a>","1.2.5 Audio Description (Prerecorded) - Understanding (Markdown link)"
"1.2.6-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/sign-language-prerecorded.html\">Understanding SC 1.2.6 Sign Language (Prerecorded)</a>","1.2.6 Sign Language (Prerecorded) - Understanding (Markdown link)"
"1.2.7-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/extended-audio-description-prerecorded.html\">Understanding SC 1.2.7 Extended Audio Description (Prerecorded)</a>","1.2.7 Extended Audio Description (Prerecorded) - Understanding (Markdown link)"
"1.2.8-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/media-alternative-prerecorded.html\">Understanding SC 1.2.8 Media Alternative (Prerecorded)</a>","1.2.8 Media Alternative (Prerecorded) - Understanding (Markdown link)"
"1.2.9-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/audio-only-live.html\">Understanding SC 1.2.9 Audio-only (Live)</a>","1.2.9 Audio-only (Live) - Understanding (Markdown link)"
"1.3.1-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html\">Understanding SC 1.3.1 Info and Relationships</a>","1.3.1 Info and Relationships - Understanding (Markdown link)"
"1.3.2-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/meaningful-sequence.html\">Understanding SC 1.3.2 Meaningful Sequence</a>","1.3.2 Meaningful Sequence - Understanding (Markdown link)"
"1.3.3-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/sensory-characteristics.html\">Understanding SC 1.3.3 Sensory Characteristics</a>","1.3.3 Sensory Characteristics - Understanding (Markdown link)"
"1.3.4-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/orientation.html\">Understanding SC 1.3.4 Orientation</a>","1.3.4 Orientation - Understanding (Markdown link)"
"1.3.5-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/identify-input-purpose.html\">Understanding SC 1.3.5 Identify Input Purpose</a>","1.3.5 Identify Input Purpose - Understanding (Markdown link)"
"1.3.6-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/identify-purpose.html\">Understanding SC 1.3.6 Identify Purpose</a>","1.3.6 Identify Purpose - Understanding (Markdown link)"
"1.4.1-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/use-of-color.html\">Understanding SC 1.4.1 Use of Color</a>","1.4.1 Use of Color - Understanding (Markdown link)"
"1.4.2-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/audio-control.html\">Understanding SC 1.4.2 Audio Control</a>","1.4.2 Audio Control - Understanding (Markdown link)"
"1.4.3-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html\">Understanding SC 1.4.3 Contrast (Minimum)</a>","1.4.3 Contrast (Minimum) - Understanding (Markdown link)"
"1.4.4-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/resize-text.html\">Understanding SC 1.4.4 Resize Text</a>","1.4.4 Resize Text - Understanding (Markdown link)"
"1.4.5-u-h","<a href=\"https://www.w3.org/WAI/WCAG21/Understanding/images-of-text.html\">Understanding SC 1.4.5 Images of Text</a>","1.4.5 Images of Text - Understanding (Markdown link)"
