"1.1.1-u-md","[Understanding SC 1.1.1 Non-text Content](https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html)","1.1.1 Non-text Content - Understanding (Markdown link)"
"1.2.1-u-md","[Understanding SC 1.2.1 Audio-only and Video-only (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/audio-only-and-video-only-prerecorded.html)","1.2.1 Audio-only and Video-only (Prerecorded) - Understanding (Markdown link)"
"1.2.2-u-md","[Understanding SC 1.2.2 Captions (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/captions-prerecorded.html)","1.2.2 Captions (Prerecorded) - Understanding (Markdown link)"
"1.2.3-u-md","[Understanding SC 1.2.3 Audio Description or Media Alternative (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/audio-description-or-media-alternative-prerecorded.html)","1.2.3 Audio Description or Media Alternative (Prerecorded) - Understanding (Markdown link)"
"1.2.4-u-md","[Understanding SC 1.2.4 Captions (Live)](https://www.w3.org/WAI/WCAG21/Understanding/captions-live.html)","1.2.4 Captions (Live) - Understanding (Markdown link)"
"1.2.5-u-md","[Understanding SC 1.2.5 Audio Description (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/audio-description-prerecorded.html)","1.2.5 Audio Description (Prerecorded) - Understanding (Markdown link)"
"1.2.6-u-md","[Understanding SC 1.2.6 Sign Language (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/sign-language-prerecorded.html)","1.2.6 Sign Language (Prerecorded) - Understanding (Markdown link)"
"1.2.7-u-md","[Understanding SC 1.2.7 Extended Audio Description (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/extended-audio-description-prerecorded.html)","1.2.7 Extended Audio Description (Prerecorded) - Understanding (Markdown link)"
"1.2.8-u-md","[Understanding SC 1.2.8 Media Alternative (Prerecorded)](https://www.w3.org/WAI/WCAG21/Understanding/media-alternative-prerecorded.html)","1.2.8 Media Alternative (Prerecorded) - Understanding (Markdown link)"
"1.2.9-u-md","[Understanding SC 1.2.9 Audio-only (Live)](https://www.w3.org/WAI/WCAG21/Understanding/audio-only-live.html)","1.2.9 Audio-only (Live) - Understanding (Markdown link)"
"1.3.1-u-md","[Understanding SC 1.3.1 Info and Relationships](https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html)","1.3.1 Info and Relationships - Understanding (Markdown link)"
